employee_id,employee_super_region,year_nbr,month_nbr,active_days,interactions_count,pitches_count,wins_count,,,,
29908,LATAM,2020,9,17,213,539,114,,,,
29908,LATAM,2020,10,15,151,421,93,,,,
29908,LATAM,2020,11,13,119,381,85,,,,
29908,LATAM,2020,12,11,117,340,67,,,,
29916,\N,2020,5,1,1,\N,\N,,,,
29916,\N,2020,6,13,152,178,48,,,,
29916,\N,2020,7,17,114,223,54,,,,
29916,\N,2020,8,13,100,239,60,,,,
29916,\N,2020,9,9,80,211,39,,,,
30290,APAC,2020,7,2,2,3,3,,,,
30290,APAC,2020,8,7,9,15,4,,,,
30290,APAC,2020,9,3,3,7,2,,,,
30290,APAC,2020,11,1,1,0,0,,,,
30292,APAC,2020,9,1,1,3,1,,,,
30449,LATAM,2020,5,5,8,\N,\N,,,,
30449,LATAM,2020,6,15,85,139,42,,,,
30449,LATAM,2020,7,18,56,97,28,,,,
30449,LATAM,2020,8,6,17,47,7,,,,
30449,LATAM,2020,9,14,69,180,38,,,,
30449,LATAM,2020,10,17,82,255,35,,,,
30449,LATAM,2020,11,12,78,182,30,,,,
30449,LATAM,2020,12,7,29,53,12,,,,
30537,APAC,2020,5,2,2,\N,\N,,,,
30537,APAC,2020,6,14,95,273,22,,,,
30537,APAC,2020,7,16,85,231,43,,,,
30537,APAC,2020,8,4,34,69,15,,,,
30537,APAC,2020,9,19,123,326,68,,,,
30537,APAC,2020,10,16,92,194,34,,,,
30537,APAC,2020,11,17,137,334,46,,,,
30537,APAC,2020,12,12,76,184,28,,,,
30587,\N,2020,6,17,164,320,100,,,,
30587,\N,2020,7,14,101,277,85,,,,
30587,\N,2020,8,15,119,430,94,,,,
30587,\N,2020,9,21,209,383,129,,,,
30587,\N,2020,10,16,112,258,72,,,,
30587,\N,2020,11,20,209,553,173,,,,
30587,\N,2020,12,6,52,129,34,,,,
30626,APAC,2020,3,1,1,\N,\N,,,,
30626,APAC,2020,6,13,152,354,191,,,,
30626,APAC,2020,7,13,177,557,163,,,,
30626,APAC,2020,8,14,175,550,96,,,,
30626,APAC,2020,9,18,192,653,104,,,,
30626,APAC,2020,10,17,157,541,78,,,,
30626,APAC,2020,11,15,168,486,90,,,,
30626,APAC,2020,12,8,78,233,47,,,,
30626,APAC,2021,1,1,1,2,2,,,,
30996,APAC,2020,6,11,94,157,23,,,,
30996,APAC,2020,7,8,54,62,12,,,,
30996,APAC,2020,8,4,29,53,12,,,,
30996,APAC,2020,9,10,81,185,37,,,,
30996,APAC,2020,10,15,115,291,25,,,,
